B0:,R9,R19,R5,R7,R10,R21,R17,R18,R22,R1,R4,R13,R11,R23,R8,R20,R12,R3,R14,R24,R15,R2,R0,R16,R6,
B1:,R21,R24,R1,R19,R3,R12,R6,R13,R11,R4,R17,R5,R14,R16,R8,R2,R20,R9,R7,R0,R22,R15,R18,R23,R10,
B2:,R13,R18,R21,R24,R14,R8,R19,R11,R22,R20,R10,R16,R12,R9,R3,R23,R7,R5,R15,R0,R1,R6,R17,R4,R2,
B3:,R18,R0,R17,R5,R7,R8,R15,R12,R24,R21,R16,R14,R2,R9,R10,R1,R4,R19,R6,R20,R23,R3,R11,R22,R13,
B4:,R14,R6,R20,R1,R16,R10,R15,R4,R21,R19,R2,R13,R8,R17,R9,R11,R22,R23,R7,R24,R18,R12,R0,R5,R3,
B5:,R19,R18,R7,R12,R1,R3,R20,R16,R14,R2,R6,R0,R22,R24,R23,R15,R5,R9,R21,R17,R11,R4,R13,R10,R8,
B6:,R19,R4,R23,R10,R0,R16,R14,R15,R12,R20,R1,R6,R9,R11,R21,R7,R5,R3,R8,R17,R13,R18,R22,R2,R24,
B7:,R19,R14,R5,R4,R23,R22,R21,R18,R20,R6,R1,R13,R9,R0,R12,R24,R7,R3,R15,R10,R16,R2,R11,R8,R17,
B8:,R18,R6,R7,R10,R14,R24,R0,R13,R5,R22,R17,R23,R20,R12,R1,R4,R8,R9,R15,R16,R19,R2,R3,R11,R21,
B9:,R7,R21,R14,R12,R17,R16,R5,R9,R8,R22,R2,R10,R6,R18,R19,R24,R0,R4,R15,R20,R13,R3,R11,R23,R1,
B10:,R23,R9,R14,R19,R13,R17,R3,R4,R21,R10,R11,R5,R6,R24,R22,R18,R8,R12,R15,R20,R1,R0,R2,R7,R16,
B11:,R11,R17,R8,R2,R20,R0,R19,R1,R3,R10,R18,R7,R6,R16,R9,R23,R24,R21,R15,R13,R5,R12,R4,R14,R22,
B12:,R4,R17,R7,R20,R24,R8,R1,R9,R19,R15,R18,R22,R2,R5,R13,R11,R10,R21,R0,R6,R3,R16,R23,R12,R14,
B13:,R14,R10,R11,R12,R20,R9,R5,R3,R23,R16,R24,R4,R7,R8,R18,R6,R13,R2,R15,R22,R19,R0,R1,R21,R17,
B14:,R5,R14,R24,R19,R2,R22,R12,R13,R21,R3,R6,R0,R20,R18,R8,R17,R23,R1,R7,R11,R9,R15,R16,R10,R4,
B15:,R19,R6,R16,R5,R13,R23,R20,R11,R3,R9,R14,R8,R1,R15,R18,R24,R4,R22,R10,R12,R2,R7,R17,R0,R21,
B16:,R20,R4,R9,R19,R15,R5,R13,R12,R21,R1,R24,R6,R16,R11,R8,R14,R17,R10,R2,R23,R3,R22,R0,R7,R18,
B17:,R9,R19,R6,R8,R5,R18,R4,R2,R1,R14,R23,R7,R10,R3,R22,R12,R15,R24,R13,R17,R21,R20,R11,R0,R16,
B18:,R21,R2,R8,R18,R13,R23,R1,R6,R17,R11,R7,R0,R19,R4,R24,R20,R14,R5,R12,R10,R22,R3,R15,R16,R9,
B19:,R22,R16,R9,R12,R21,R7,R8,R14,R17,R4,R1,R6,R15,R11,R13,R0,R3,R19,R20,R23,R24,R2,R5,R18,R10,
B20:,R15,R9,R21,R22,R13,R20,R4,R8,R2,R14,R3,R10,R12,R5,R0,R6,R11,R23,R24,R17,R18,R7,R19,R1,R16,
B21:,R0,R13,R6,R9,R18,R8,R15,R1,R24,R2,R5,R23,R14,R19,R22,R17,R20,R16,R3,R7,R12,R10,R11,R21,R4,
B22:,R0,R18,R11,R17,R15,R2,R4,R8,R19,R1,R5,R6,R20,R16,R3,R7,R22,R23,R14,R10,R21,R12,R9,R13,R24,
B23:,R24,R2,R15,R1,R6,R17,R13,R14,R18,R7,R22,R21,R19,R4,R16,R10,R8,R20,R9,R11,R5,R0,R3,R23,R12,
B24:,R11,R1,R20,R8,R19,R3,R24,R9,R5,R17,R14,R15,R21,R0,R12,R10,R13,R18,R23,R2,R7,R4,R6,R16,R22,

R0:,B24,B2,B0,B22,B12,B8,B17,B21,B15,B9,B20,B11,B13,B6,B14,B7,B5,B19,B10,B23,B16,B18,B4,B3,B1,
R1:,B18,B8,B9,B12,B3,B19,B17,B13,B2,B11,B16,B15,B6,B14,B7,B22,B24,B5,B4,B20,B10,B0,B21,B23,B1,
R2:,B20,B2,B3,B14,B11,B5,B18,B21,B6,B7,B17,B16,B24,B23,B22,B1,B10,B0,B8,B15,B12,B9,B13,B4,B19,
R3:,B5,B19,B22,B16,B8,B20,B12,B21,B13,B3,B6,B15,B2,B17,B24,B10,B9,B0,B11,B14,B4,B7,B1,B18,B23,
