B0:,R4,R1,R2,R9,R8,R5,R7,R6,R3,R0,
B1:,R7,R1,R2,R8,R9,R6,R3,R0,R4,R5,
B2:,R4,R5,R8,R6,R2,R3,R1,R0,R9,R7,
B3:,R5,R2,R8,R9,R3,R6,R0,R4,R7,R1,
B4:,R8,R0,R2,R6,R1,R4,R3,R5,R7,R9,
B5:,R2,R8,R5,R9,R0,R7,R4,R3,R1,R6,
B6:,R5,R2,R9,R1,R6,R0,R8,R7,R3,R4,
B7:,R8,R6,R4,R7,R3,R0,R5,R2,R9,R1,
B8:,R6,R5,R8,R7,R1,R4,R0,R3,R9,R2,
B9:,R2,R6,R7,R1,R5,R4,R0,R3,R9,R8,

R0:,B0,B5,B6,B3,B4,B1,B7,B8,B9,B2,
R1:,B9,B3,B5,B8,B6,B7,B2,B1,B0,B4,
R2:,B7,B9,B4,B5,B3,B1,B6,B2,B8,B0,
R3:,B9,B8,B6,B4,B2,B7,B1,B3,B0,B5,
R4:,B1,B8,B4,B6,B2,B0,B3,B9,B5,B7,
R5:,B6,B9,B4,B0,B7,B1,B3,B8,B5,B2,
R6:,B2,B3,B5,B1,B6,B8,B0,B4,B9,B7,
R7:,B1,B6,B5,B7,B8,B3,B4,B9,B0,B2,
R8:,B7,B6,B4,B0,B8,B2,B9,B3,B5,B1,
R9:,B8,B3,B9,B2,B0,B4,B5,B6,B7,B1,
