B0:,R64,R3,R59,R6,R19,R87,R84,R80,R48,R9,R76,R97,R12,R2,R66,R15,R50,R45,R20,R61,R70,R21,R73,R46,R11,R92,R34,R62,R44,R49,R69,R89,R72,R5,R54,R58,R39,R55,R81,R60,R26,R31,R38,R82,R52,R13,R28,R27,R53,R47,R77,R29,R14,R40,R71,R43,R16,R98,R94,R4,R25,R37,R96,R33,R41,R7,R95,R65,R85,R83,R86,R32,R36,R99,R93,R0,R90,R63,R79,R51,R18,R67,R1,R74,R23,R17,R57,R8,R42,R22,R75,R88,R91,R68,R24,R56,R78,R35,R30,R10,
B1:,R18,R26,R50,R58,R48,R74,R47,R43,R65,R94,R9,R63,R81,R71,R45,R96,R54,R87,R92,R97,R32,R68,R59,R88,R61,R91,R86,R52,R25,R98,R31,R69,R38,R20,R11,R49,R72,R76,R35,R39,R16,R66,R17,R84,R13,R57,R73,R29,R40,R95,R44,R1,R34,R53,R70,R82,R37,R93,R22,R2,R4,R15,R24,R30,R3,R46,R41,R51,R56,R62,R78,R55,R85,R10,R36,R27,R19,R7,R79,R89,R42,R5,R28,R64,R60,R83,R12,R33,R8,R14,R75,R0,R80,R67,R23,R6,R77,R90,R21,R99,
B2:,R15,R88,R16,R74,R76,R60,R61,R95,R99,R5,R51,R10,R40,R55,R68,R12,R31,R46,R23,R38,R13,R81,R39,R73,R66,R93,R33,R34,R49,R26,R7,R91,R44,R84,R9,R45,R30,R90,R83,R96,R32,R35,R11,R4,R37,R54,R29,R24,R92,R82,R78,R69,R89,R71,R53,R36,R22,R52,R17,R86,R65,R27,R77,R41,R97,R79,R43,R94,R57,R63,R75,R70,R47,R98,R50,R21,R0,R56,R67,R48,R2,R58,R20,R64,R1,R3,R14,R19,R62,R18,R25,R42,R28,R59,R85,R72,R8,R80,R87,R6,
B3:,R77,R41,R82,R95,R24,R93,R8,R66,R75,R4,R64,R52,R61,R1,R94,R97,R88,R55,R13,R47,R48,R51,R85,R28,R23,R65,R31,R73,R79,R45,R62,R38,R71,R90,R12,R10,R14,R74,R58,R43,R39,R36,R25,R70,R17,R87,R92,R56,R22,R53,R68,R33,R9,R49,R84,R50,R86,R19,R99,R78,R21,R26,R81,R89,R83,R54,R72,R44,R67,R20,R3,R7,R69,R32,R16,R15,R76,R96,R35,R29,R80,R91,R11,R5,R34,R37,R59,R27,R46,R30,R40,R60,R6,R57,R98,R42,R63,R0,R18,R2,
B4:,R68,R15,R89,R26,R11,R18,R32,R17,R29,R93,R14,R35,R42,R27,R55,R22,R80,R72,R87,R60,R97,R58,R62,R38,R4,R71,R79,R34,R98,R53,R1,R41,R40,R2,R76,R75,R94,R90,R31,R88,R13,R43,R20,R73,R91,R37,R64,R30,R19,R16,R84,R59,R49,R45,R0,R48,R57,R12,R52,R5,R83,R9,R51,R39,R24,R25,R95,R69,R46,R70,R82,R6,R28,R36,R21,R10,R61,R50,R65,R44,R56,R8,R78,R33,R92,R3,R7,R77,R81,R85,R47,R66,R67,R63,R74,R54,R96,R23,R99,R86,
B5:,R58,R40,R18,R93,R55,R48,R78,R10,R42,R17,R97,R65,R37,R63,R23,R47,R41,R1,R57,R8,R56,R19,R54,R96,R5,R4,R50,R35,R12,R81,R94,R95,R77,R70,R53,R71,R80,R39,R30,R43,R74,R27,R69,R11,R82,R68,R62,R9,R76,R44,R79,R0,R45,R84,R34,R89,R29,R38,R13,R21,R66,R2,R20,R16,R59,R7,R99,R31,R15,R90,R98,R3,R91,R92,R83,R86,R25,R67,R6,R72,R49,R14,R64,R24,R61,R33,R51,R60,R22,R32,R36,R26,R87,R46,R75,R73,R88,R28,R52,R85,
B6:,R61,R35,R16,R33,R31,R0,R83,R36,R82,R85,R87,R49,R14,R96,R26,R68,R25,R53,R32,R71,R60,R39,R2,R93,R15,R30,R37,R76,R51,R9,R7,R75,R91,R8,R40,R5,R6,R70,R21,R22,R64,R10,R97,R18,R24,R79,R74,R28,R48,R69,R1,R92,R99,R90,R43,R95,R98,R56,R45,R34,R19,R62,R20,R58,R67,R46,R86,R23,R44,R72,R41,R50,R94,R57,R12,R13,R38,R47,R65,R78,R84,R63,R59,R73,R81,R80,R89,R77,R42,R66,R4,R52,R88,R54,R29,R17,R55,R3,R27,R11,
B7:,R52,R4,R74,R62,R88,R50,R18,R93,R10,R72,R45,R98,R22,R3,R95,R6,R42,R57,R7,R86,R12,R17,R67,R55,R28,R81,R66,R68,R77,R30,R94,R73,R69,R2,R61,R46,R35,R89,R15,R75,R21,R14,R92,R5,R70,R16,R41,R13,R85,R20,R48,R0,R99,R91,R60,R29,R25,R96,R65,R44,R79,R19,R40,R27,R63,R83,R33,R32,R54,R9,R51,R59,R36,R1,R64,R80,R8,R31,R37,R71,R11,R90,R82,R87,R34,R47,R97,R53,R23,R84,R43,R76,R58,R39,R78,R38,R49,R26,R56,R24,
B8:,R20,R37,R89,R52,R74,R88,R34,R22,R56,R48,R97,R59,R35,R44,R17,R26,R72,R46,R71,R62,R86,R75,R70,R1,R79,R25,R76,R5,R27,R43,R4,R24,R63,R9,R28,R61,R87,R98,R80,R94,R93,R47,R57,R3,R68,R8,R14,R39,R69,R53,R95,R40,R10,R6,R84,R33,R82,R29,R96,R19,R49,R81,R0,R41,R11,R50,R66,R30,R99,R42,R45,R13,R58,R7,R21,R85,R2,R16,R90,R67,R73,R92,R18,R23,R77,R15,R38,R60,R51,R55,R78,R65,R64,R83,R32,R31,R12,R91,R54,R36,
B9:,R15,R92,R70,R28,R42,R85,R30,R87,R45,R67,R97,R4,R72,R53,R41,R38,R56,R60,R68,R39,R58,R95,R65,R27,R5,R63,R13,R36,R61,R48,R11,R75,R74,R93,R37,R29,R26,R52,R80,R81,R10,R23,R0,R62,R2,R22,R31,R77,R16,R90,R3,R47,R84,R1,R59,R46,R51,R82,R69,R21,R9,R8,R14,R54,R40,R99,R89,R94,R73,R25,R24,R91,R12,R18,R7,R76,R20,R98,R71,R35,R88,R55,R64,R86,R49,R83,R66,R6,R57,R33,R96,R19,R17,R78,R32,R79,R43,R50,R34,R44,
B10:,R87,R33,R85,R46,R63,R39,R24,R23,R72,R79,R52,R45,R58,R92,R3,R7,R21,R89,R95,R76,R66,R96,R12,R77,R29,R43,R90,R59,R78,R5,R86,R36,R28,R48,R56,R88,R16,R41,R30,R50,R84,R47,R75,R82,R74,R22,R67,R80,R93,R69,R49,R65,R20,R34,R8,R55,R53,R19,R17,R25,R18,R83,R44,R71,R35,R15,R27,R60,R97,R99,R68,R54,R64,R11,R40,R14,R73,R13,R32,R0,R4,R62,R1,R94,R57,R81,R38,R91,R10,R42,R2,R6,R31,R98,R26,R70,R37,R9,R51,R61,
B11:,R45,R71,R25,R65,R62,R75,R63,R30,R27,R72,R11,R19,R83,R15,R49,R32,R52,R60,R61,R44,R26,R64,R77,R40,R69,R10,R5,R53,R31,R43,R50,R2,R81,R33,R84,R38,R1,R48,R78,R3,R55,R22,R85,R58,R93,R79,R34,R76,R68,R12,R24,R47,R86,R17,R13,R99,R21,R16,R37,R91,R9,R8,R74,R95,R51,R87,R35,R14,R67,R59,R39,R0,R73,R42,R66,R4,R18,R29,R88,R6,R20,R23,R80,R94,R96,R56,R89,R54,R7,R70,R90,R46,R82,R28,R36,R57,R41,R92,R98,R97,
B12:,R2,R32,R57,R28,R44,R81,R41,R15,R92,R25,R13,R14,R95,R6,R51,R45,R40,R53,R80,R17,R9,R60,R36,R49,R62,R30,R73,R50,R34,R88,R43,R71,R75,R78,R11,R39,R97,R67,R85,R72,R58,R7,R84,R16,R90,R38,R61,R89,R79,R83,R1,R94,R22,R42,R56,R27,R10,R66,R98,R19,R35,R93,R69,R18,R99,R52,R64,R47,R54,R37,R33,R48,R26,R76,R4,R24,R87,R31,R86,R74,R82,R20,R29,R55,R96,R70,R63,R8,R65,R0,R91,R23,R59,R77,R46,R21,R3,R5,R68,R12,
B13:,R43,R75,R30,R35,R24,R19,R92,R45,R42,R15,R41,R87,R76,R77,R74,R37,R79,R25,R85,R97,R39,R52,R32,R21,R51,R72,R84,R40,R50,R81,R55,R31,R11,R83,R22,R27,R61,R7,R12,R49,R99,R62,R91,R10,R0,R80,R71,R70,R17,R13,R20,R60,R26,R56,R14,R38,R73,R66,R8,R94,R3,R96,R1,R18,R64,R47,R63,R57,R90,R67,R95,R6,R5,R53,R88,R58,R46,R69,R78,R68,R59,R29,R98,R16,R28,R9,R93,R36,R44,R33,R82,R65,R89,R54,R2,R48,R4,R86,R34,R23,
B14:,R7,R30,R15,R45,R43,R39,R81,R3,R57,R6,R68,R46,R90,R85,R72,R28,R87,R5,R44,R24,R27,R71,R95,R48,R65,R32,R60,R67,R40,R52,R8,R36,R12,R35,R37,R74,R70,R80,R31,R62,R41,R22,R89,R38,R96,R49,R51,R23,R18,R59,R54,R47,R97,R94,R4,R0,R56,R76,R29,R53,R99,R84,R79,R10,R88,R26,R14,R92,R21,R42,R73,R1,R61,R33,R9,R13,R2,R20,R58,R82,R25,R75,R17,R91,R66,R64,R98,R16,R69,R86,R93,R77,R63,R11,R78,R55,R50,R34,R19,R83,
B15:,R79,R33,R29,R53,R49,R25,R72,R92,R41,R22,R37,R13,R46,R6,R98,R40,R58,R11,R68,R36,R17,R48,R87,R81,R94,R78,R65,R96,R0,R89,R43,R26,R3,R5,R56,R82,R34,R10,R85,R28,R60,R61,R45,R16,R51,R69,R8,R84,R20,R64,R74,R31,R59,R38,R88,R67,R27,R95,R54,R2,R30,R77,R19,R62,R66,R24,R63,R50,R32,R91,R4,R12,R90,R9,R52,R47,R99,R35,R97,R76,R57,R44,R71,R21,R23,R80,R39,R70,R1,R14,R75,R73,R86,R93,R7,R83,R18,R15,R42,R55,
B16:,R61,R98,R57,R34,R56,R19,R39,R92,R13,R1,R24,R84,R90,R72,R22,R89,R27,R52,R33,R69,R44,R83,R46,R70,R15,R2,R67,R76,R16,R36,R38,R49,R35,R37,R80,R21,R74,R11,R96,R23,R77,R95,R87,R12,R48,R14,R55,R63,R17,R29,R50,R30,R4,R6,R58,R26,R41,R20,R3,R73,R53,R81,R68,R7,R32,R25,R75,R85,R60,R93,R66,R54,R51,R47,R79,R0,R42,R64,R82,R9,R28,R45,R5,R10,R62,R91,R59,R65,R99,R40,R71,R97,R8,R18,R86,R88,R31,R94,R78,R43,
B17:,R3,R9,R39,R73,R41,R64,R72,R94,R77,R31,R22,R21,R44,R71,R23,R26,R83,R79,R97,R92,R88,R98,R24,R85,R57,R5,R20,R52,R68,R58,R18,R42,R78,R75,R25,R6,R60,R89,R93,R43,R47,R11,R69,R12,R65,R56,R82,R14,R91,R67,R90,R51,R53,R50,R28,R32,R7,R87,R59,R35,R61,R80,R19,R13,R99,R55,R96,R29,R38,R49,R37,R16,R30,R1,R4,R74,R2,R66,R86,R63,R54,R33,R8,R95,R40,R27,R36,R62,R70,R10,R84,R0,R46,R15,R76,R81,R45,R48,R17,R34,
