B0:,R18
B1:,R19
B2:,R48
B3:,R86
B4:,R25
B5:,R89
B6:,R66
B7:,R51
B8:,R37
B9:,R84
B10:,R12
B11:,R3
B12:,R97
B13:,R20
B14:,R44
B15:,R83
B16:,R43
B17:,R30
B18:,R15
B19:,R72
B20:,R2
B21:,R16
B22:,R77
B23:,R80
B24:,R7
B25:,R76
B26:,R42
B27:,R78
B28:,R65
B29:,R54
B30:,R93
B31:,R56
B32:,R33
B33:,R96
B34:,R38
B35:,R61
B36:,R53
B37:,R79
B38:,R39
B39:,R99
B40:,R60
B41:,R49
B42:,R13
B43:,R52
B44:,R81
B45:,R90
B46:,R70
B47:,R58
B48:,R46
B49:,R92
B50:,R40
B51:,R68
B52:,R88
B53:,R34
B54:,R91
B55:,R35
B56:,R4
B57:,R22
B58:,R41
B59:,R10
B60:,R1
B61:,R31
B62:,R95
B63:,R74
B64:,R50
B65:,R6
B66:,R94
B67:,R14
B68:,R45
B69:,R73
B70:,R82
B71:,R87
B72:,R62
B73:,R27
B74:,R24
B75:,R36
B76:,R47
B77:,R5
B78:,R57
B79:,R9
B80:,R11
B81:,R71
B82:,R63
B83:,R67
B84:,R69
B85:,R0
B86:,R23
B87:,R29
B88:,R59
B89:,R85
B90:,R21
B91:,R75
B92:,R17
B93:,R98
B94:,R26
B95:,R55
B96:,R8
B97:,R32
B98:,R28
B99:,R64
