B0:,R95
B1:,R42
B2:,R28
B3:,R62
B4:,R25
B5:,R49
B6:,R16
B7:,R58
B8:,R63
B9:,R38
B10:,R81
B11:,R76
B12:,R50
B13:,R21
B14:,R23
B15:,R82
B16:,R48
B17:,R45
B18:,R57
B19:,R74
B20:,R80
B21:,R10
B22:,R2
B23:,R47
B24:,R84
B25:,R7
B26:,R8
B27:,R20
B28:,R11
B29:,R98
B30:,R40
B31:,R44
B32:,R86
B33:,R94
B34:,R69
B35:,R53
B36:,R66
B37:,R19
B38:,R96
B39:,R36
B40:,R97
B41:,R29
B42:,R17
B43:,R43
B44:,R90
B45:,R9
B46:,R30
B47:,R33
B48:,R31
B49:,R4
B50:,R78
B51:,R26
B52:,R41
B53:,R1
B54:,R89
B55:,R64
B56:,R35
B57:,R52
B58:,R55
B59:,R22
B60:,R67
B61:,R85
B62:,R72
B63:,R59
B64:,R37
B65:,R99
B66:,R54
B67:,R60
B68:,R32
B69:,R46
B70:,R93
B71:,R0
B72:,R12
B73:,R39
B74:,R73
B75:,R6
B76:,R79
B77:,R87
B78:,R56
B79:,R61
B80:,R18
B81:,R27
B82:,R92
B83:,R65
B84:,R68
B85:,R70
B86:,R13
B87:,R91
B88:,R14
B89:,R88
B90:,R83
B91:,R77
B92:,R3
B93:,R75
B94:,R15
B95:,R5
B96:,R24
B97:,R51
B98:,R34
B99:,R71
